inf_prob,diag_prob,i0,behaviour_change,behaviour_change_rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total_immunized,LL
0.49,0.4,11.0,0.5,0.1,0.0,1796.0,4495.0,3462.0,2052.0,1046.0,362.0,111.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.0,-5624.349124849184
0.23,0.26,15.0,0.6,0.5,0.0,7154.0,4903.0,1037.0,237.0,23.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,-inf
0.94,0.29,7.0,0.5,5e-05,0.0,0.0,22.0,149.0,293.0,665.0,1155.0,1435.0,1333.0,1160.0,875.0,686.0,513.0,423.0,354.0,244.0,167.0,131.0,82.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,33937.0,-inf
0.17,0.41,8.0,0.5,0.001,0.0,7.0,18.0,17.0,34.0,29.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-inf
0.42,0.25,7.0,0.6,0.005,0.0,43.0,49.0,48.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-inf
0.47,0.24,13.0,0.3,0.001,0.0,20.0,37.0,71.0,87.0,139.0,212.0,296.0,434.0,499.0,614.0,637.0,708.0,749.0,845.0,873.0,884.0,917.0,932.0,869.0,780.0,649.0,549.0,434.0,298.0,233.0,2402.0,-5495.904830378822
0.14,0.35,14.0,0.5,0.005,0.0,45.0,146.0,183.0,223.0,186.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,-inf
0.41,0.26,6.0,0.7,0.001,0.0,5.0,14.0,21.0,17.0,23.0,18.0,32.0,49.0,78.0,94.0,131.0,157.0,168.0,166.0,213.0,205.0,265.0,304.0,332.0,349.0,366.0,402.0,439.0,479.0,511.0,346.0,-inf
0.47,0.34,14.0,0.8,5e-05,0.0,0.0,0.0,1.0,4.0,2.0,6.0,9.0,7.0,9.0,19.0,17.0,23.0,26.0,38.0,40.0,42.0,56.0,62.0,82.0,80.0,95.0,121.0,129.0,163.0,165.0,1137.0,-inf
0.03,0.26,15.0,0.9,0.01,0.0,170.0,298.0,302.0,314.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-inf
0.59,0.42,5.0,0.6,0.5,0.0,3680.0,2677.0,3967.0,2420.0,575.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4676.0,-8417.707515097012
0.12,0.31,11.0,0.1,0.005,0.0,41.0,120.0,161.0,230.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,-inf
0.88,0.37,8.0,0.1,0.0001,0.0,1.0,6.0,72.0,313.0,835.0,1235.0,1642.0,1678.0,1525.0,1037.0,728.0,480.0,263.0,154.0,106.0,52.0,38.0,15.0,9.0,5.0,3.0,1.0,3.0,0.0,0.0,25320.0,-inf
0.01,0.31,6.0,0.7,0.005,0.0,35.0,40.0,42.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-inf
0.19,0.37,10.0,0.5,0.05,0.0,485.0,1179.0,1344.0,1161.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,-inf
0.95,0.35,7.0,0.8,0.01,0.0,140.0,3575.0,4908.0,913.0,1034.0,616.0,271.0,115.0,45.0,17.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32257.0,-inf
0.17,0.32,15.0,0.9,0.5,0.0,4989.0,5429.0,2431.0,426.0,73.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,-inf
0.41,0.24,12.0,0.3,5e-05,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-inf
0.13,0.25,15.0,0.2,0.01,0.0,82.0,292.0,300.0,318.0,291.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-inf
