inf_rate,diag_prob,i0,behaviour_change,behaviour_change_rate
0.6117775108518352,0.14663932802876975,14.0,0.0,0.0
0.6894788774031619,0.15516961127834497,12.0,0.0,0.0
0.6335749947025787,0.1460473846512781,16.0,0.0,0.0
0.7363463154664859,0.13375398434132035,8.0,0.0,0.0
0.6319917786492363,0.14989340704515686,16.0,0.0,0.0
0.6895039538485359,0.14932177730722407,16.0,0.0,0.0
0.6593812529356887,0.13322184074513735,15.0,0.0,0.0
0.6921040048938731,0.15385988714501175,11.0,0.0,0.0
0.6909341345625553,0.1594899341913448,13.0,0.0,0.0
0.6689823659997487,0.128542900104526,15.0,0.0,0.0
0.6628425945518261,0.18246755434810827,10.0,0.0,0.0
0.6189992286858664,0.17607144357775156,12.0,0.0,0.0
0.7035280768091602,0.11685904953413452,9.0,0.0,0.0
0.6075691138746715,0.13114739880272988,15.0,0.0,0.0
0.6892673307456495,0.16097595895642547,17.0,0.0,0.0
0.7203974836028499,0.14261710779534817,10.0,0.0,0.0
0.6512871502669769,0.12872033673377165,12.0,0.0,0.0
0.680609993116169,0.16889513115612217,11.0,0.0,0.0
0.6912197575606316,0.16544837589629813,5.0,0.0,0.0
0.6758603842956424,0.11857476233697502,5.0,0.0,0.0
0.6620485378632892,0.211777859579947,13.0,0.0,0.0
0.6883714399590217,0.2166974972496289,9.0,0.0,0.0
0.7096520324662163,0.15912368991851525,16.0,0.0,0.0
0.6513953865912376,0.11662592388429001,10.0,0.0,0.0
0.6106584389689895,0.16721113951259592,16.0,0.0,0.0
0.6712811188579257,0.1335132666792514,11.0,0.0,0.0
0.6496999927849066,0.18393842670806534,7.0,0.0,0.0
0.7006945503748273,0.12190865495402274,7.0,0.0,0.0
0.6495765757694261,0.20848849252500704,10.0,0.0,0.0
0.6720987434461957,0.1837590792563461,4.0,0.0,0.0
0.6883498931374987,0.10687416052263744,19.0,0.0,0.0
0.7435989012254979,0.12047219043482903,13.0,0.0,0.0
0.6391335455196071,0.1268782838323503,13.0,0.0,0.0
0.7246721865807139,0.12619320344849885,16.0,0.0,0.0
0.6948506860928415,0.19257052795905372,12.0,0.0,0.0
0.6866469082091047,0.14529589390330624,9.0,0.0,0.0
0.6964143095181449,0.15456131450426236,9.0,0.0,0.0
0.6683822511898163,0.10984795379689205,11.0,0.0,0.0
0.6088045494559581,0.17237147416675402,16.0,0.0,0.0
0.6695928218707426,0.08984735688157199,10.0,0.0,0.0
0.6484444697508007,0.2073995806334462,6.0,0.0,0.0
0.696986396831479,0.18845963760442747,15.0,0.0,0.0
0.6895096407219992,0.13588084716819304,17.0,0.0,0.0
0.7088828792013891,0.11051110681396596,2.0,0.0,0.0
0.6471808381989825,0.16124313756081926,5.0,0.0,0.0
0.6504785548478326,0.15879980110988662,12.0,0.0,0.0
0.710686302324077,0.13235230487725846,5.0,0.0,0.0
0.6741029765815365,0.19410005959428786,13.0,0.0,0.0
0.7154938435722521,0.15230873417675075,12.0,0.0,0.0
0.6962907871967194,0.13726370846010622,5.0,0.0,0.0
0.6541238815914991,0.15312176325567592,12.0,0.0,0.0
0.6560451981718587,0.14384591001850028,12.0,0.0,0.0
0.6807989828498967,0.1526204620107794,16.0,0.0,0.0
0.6882957468446014,0.14777040841074368,9.0,0.0,0.0
0.7064251898185169,0.1585114743301606,16.0,0.0,0.0
0.6868071378349124,0.14939290925202264,13.0,0.0,0.0
0.6202243736846046,0.18641467872759154,15.0,0.0,0.0
0.6958280641646261,0.16080353681955817,12.0,0.0,0.0
0.6885949032777148,0.17097235848498385,10.0,0.0,0.0
0.7143575528835568,0.13265054370573395,15.0,0.0,0.0
0.738708724111205,0.13086277359966816,14.0,0.0,0.0
0.7057091274852488,0.10971013167312528,10.0,0.0,0.0
0.7666198802419613,0.1075609033649896,6.0,0.0,0.0
0.6711153519030167,0.22236366034716812,16.0,0.0,0.0
0.6452808580861792,0.15369904939474696,18.0,0.0,0.0
0.6291902585983737,0.17146490634967448,17.0,0.0,0.0
0.7453342234050231,0.12231798813536314,9.0,0.0,0.0
0.6687473590891908,0.1956755174365464,16.0,0.0,0.0
0.7200991522454762,0.1413416883896504,14.0,0.0,0.0
0.6691135856633768,0.17081612519043837,18.0,0.0,0.0
0.6987372535957779,0.1414685885731195,16.0,0.0,0.0
0.6804157749488139,0.17213930891739582,19.0,0.0,0.0
0.6328452657097761,0.16029009959602442,12.0,0.0,0.0
0.6374066626909325,0.2019914555854483,6.0,0.0,0.0
0.6716645355271731,0.20711263476822836,14.0,0.0,0.0
0.6978853311609439,0.1734786384802009,16.0,0.0,0.0
0.6246662182867911,0.1830404145140491,11.0,0.0,0.0
0.6748322508631729,0.1874329014719905,14.0,0.0,0.0
0.6663222607894873,0.177293697138279,9.0,0.0,0.0
0.7069229436185076,0.170979402841167,9.0,0.0,0.0
0.639405220639444,0.15750887960468218,13.0,0.0,0.0
0.6747132293359354,0.15599801794604537,13.0,0.0,0.0
0.6228869649728626,0.15174353666417653,11.0,0.0,0.0
0.6791404123618897,0.17386252167636257,12.0,0.0,0.0
0.6564420789184807,0.08514817055517328,17.0,0.0,0.0
0.6722288690015057,0.1984584023318199,12.0,0.0,0.0
0.704377488925271,0.16358927889242772,13.0,0.0,0.0
0.7177777883535965,0.1147026385275187,11.0,0.0,0.0
0.668514449028745,0.18743585073957583,4.0,0.0,0.0
0.6429729017957088,0.1641966609250114,11.0,0.0,0.0
0.6290733159800743,0.17309584538040093,14.0,0.0,0.0
0.7022524925303553,0.0987053088184262,12.0,0.0,0.0
0.7140160312227125,0.16307496473435015,15.0,0.0,0.0
0.7138258771384511,0.17529791769992203,15.0,0.0,0.0
0.6733788330970495,0.19719662051314793,7.0,0.0,0.0
0.6575898870735757,0.11319893618444868,6.0,0.0,0.0
0.6677331020298103,0.15276012065976804,13.0,0.0,0.0
0.7729944389117971,0.09476299845232919,8.0,0.0,0.0
0.6248640535188363,0.17859288845505675,9.0,0.0,0.0
0.6111180409220237,0.21442138815544606,9.0,0.0,0.0
0.7059308760394546,0.1812629739644199,11.0,0.0,0.0
0.7117821431473161,0.15992355428157282,8.0,0.0,0.0
0.6814183312596213,0.16954555672321323,17.0,0.0,0.0
0.7152459754290224,0.13058832914316001,12.0,0.0,0.0
0.733823290959077,0.1024464054503064,15.0,0.0,0.0
0.6971373736876618,0.18632153422886857,15.0,0.0,0.0
0.6813953093591473,0.15921110865414495,12.0,0.0,0.0
0.6935383592612113,0.1572647340926539,11.0,0.0,0.0
0.7063597594299021,0.14350275698121256,16.0,0.0,0.0
0.6505726016672873,0.23127222495765562,9.0,0.0,0.0
0.6702438507705782,0.23483732530829304,9.0,0.0,0.0
0.7041201565821729,0.1377295922979251,15.0,0.0,0.0
0.6692589293420389,0.21568226969045864,17.0,0.0,0.0
0.640259592356177,0.18163196036597282,11.0,0.0,0.0
0.6109442241176486,0.13537458221206042,12.0,0.0,0.0
0.7052818477537416,0.12107629944187008,10.0,0.0,0.0
0.7108718426257086,0.1329547878529868,16.0,0.0,0.0
0.6808090733261268,0.1358408938962448,17.0,0.0,0.0
0.61783904173961,0.18551513842444528,11.0,0.0,0.0
0.6885265405185692,0.0970199975643754,13.0,0.0,0.0
0.7060169269248863,0.16308955887851095,11.0,0.0,0.0
0.6485930661824042,0.20276218723371076,6.0,0.0,0.0
0.7106977057164163,0.13752336384678382,8.0,0.0,0.0
0.654668639208087,0.13537760893615056,11.0,0.0,0.0
0.7342581162098315,0.1284560908703829,4.0,0.0,0.0
0.6823325628205126,0.1481050208072539,14.0,0.0,0.0
0.6157363691175547,0.1839577890047917,17.0,0.0,0.0
0.6838931710478942,0.1307471384814933,13.0,0.0,0.0
0.6015295276111069,0.16143812867806936,19.0,0.0,0.0
0.6621099812041809,0.23048563004338202,17.0,0.0,0.0
0.712684018208013,0.12950735801747454,10.0,0.0,0.0
0.7106173680439208,0.14080118974029318,16.0,0.0,0.0
0.7545031131764157,0.08900991930426953,18.0,0.0,0.0
0.6445247133676966,0.1910513811772135,15.0,0.0,0.0
0.7248477840347816,0.13394162787376002,17.0,0.0,0.0
0.7170529316081837,0.09314079799117701,10.0,0.0,0.0
0.7121451982579989,0.13347669038014082,13.0,0.0,0.0
0.6403366124191674,0.16025145733104873,11.0,0.0,0.0
0.6880431600770522,0.18973908187330873,6.0,0.0,0.0
0.7314132729777366,0.09919541506932876,13.0,0.0,0.0
0.6513964582929141,0.16553479411745511,11.0,0.0,0.0
0.651150782310824,0.15760378168866326,13.0,0.0,0.0
0.650744068385379,0.12816844962338025,13.0,0.0,0.0
0.6411592859858489,0.16463071443951888,11.0,0.0,0.0
0.620267123209497,0.2757488302635506,11.0,0.0,0.0
0.7855505207708223,0.99,11.0,0.0,0.0
0.6419030539236226,0.1862943774226345,12.0,0.0,0.0
0.6834553776567095,0.15649279629186877,14.0,0.0,0.0
0.6681959949963379,0.11670165456226343,9.0,0.0,0.0
0.6683514862765402,0.12746313015580538,10.0,0.0,0.0
0.6979453978885414,0.14422461557169203,12.0,0.0,0.0
0.6973230662541823,0.14937474016804736,15.0,0.0,0.0
0.6511935431450876,0.1802566561013519,9.0,0.0,0.0
0.6643052983143087,0.17770838130615502,10.0,0.0,0.0
0.6397040974630185,0.21428276020760223,11.0,0.0,0.0
0.7265488291618424,0.15311591645682315,11.0,0.0,0.0
0.7424381344862803,0.12075837250813738,5.0,0.0,0.0
0.6615319918789828,0.11056311480198729,9.0,0.0,0.0
0.6899854948772612,0.08037204439304514,17.0,0.0,0.0
0.7051776542013132,0.152866172674197,13.0,0.0,0.0
0.69629722992465,0.14620819587499084,10.0,0.0,0.0
0.6442899538909095,0.15327110353766524,13.0,0.0,0.0
0.7133048597124217,0.10623987892209116,12.0,0.0,0.0
0.700035238445538,0.17777017598207798,13.0,0.0,0.0
0.6492385648140463,0.18412855212856552,14.0,0.0,0.0
